player_sk,date_sk,opponent_sk,home,dnp,goals,assists,shots,sog,yellow,red,saves,ga
0,8267,1,1,0,,,,,,,,1
1,8267,1,1,0,,,,,,,,
2,8267,1,1,0,,,,,,,,
3,8267,1,1,0,,,,,,,,
4,8267,1,1,0,,,,,,,,
5,8267,1,1,1,,,,,,,,
6,8267,1,1,0,,,,,,,,
8,8267,1,1,0,,,,,,,,
9,8267,1,1,0,2,,,2,,,,
10,8267,1,1,0,,,,,,,,
11,8267,1,1,0,,,,,,,,
12,8267,1,1,0,,,,,,,,
13,8267,1,1,1,,,,,,,,
14,8267,1,1,0,,2,,,,,,
15,8267,1,1,1,,,,,,,,
16,8267,1,1,0,,,,,,,,
17,8267,1,1,0,,,,,,,,
19,8267,1,1,1,,,,,,,,
20,8267,1,1,0,,,,,,,,
21,8267,1,1,0,,,,,,,,
22,8267,1,1,0,,,,,,,,
23,8267,1,1,1,,,,,,,,
0,8273,2,0,0,,,,,,,2,1
1,8273,2,0,0,,,,,,,4,
2,8273,2,0,0,,,,,,,,
3,8273,2,0,0,,,,,,,,
4,8273,2,0,0,,,,,,,,
5,8273,2,0,0,,1,,,,,,
6,8273,2,0,0,,,,1,,,,
8,8273,2,0,0,,,1,1,,,,
9,8273,2,0,0,,,,,,,,
10,8273,2,0,0,,,1,,,,,
11,8273,2,0,0,1,,,2,,,,
12,8273,2,0,0,,,,1,,,,
13,8273,2,0,1,,,,,,,,
14,8273,2,0,0,,,,,,,,
15,8273,2,0,0,,,,,,,,
16,8273,2,0,0,,,,,,,,
17,8273,2,0,0,,,,,,,,
19,8273,2,0,1,,,,,,,,
20,8273,2,0,0,,,,,,,,
21,8273,2,0,0,,,,,,,,
22,8273,2,0,0,1,,,1,,,,
23,8273,2,0,1,,,,,,,,
0,8275,3,0,0,,,,,,,3,
1,8275,3,0,0,,,,,,,3,
2,8275,3,0,0,,,,,,,,
3,8275,3,0,0,,,,,,,,
4,8275,3,0,0,,,,1,,,,
5,8275,3,0,0,,1,,2,,,,
6,8275,3,0,0,,,2,1,,,,
8,8275,3,0,0,,,,,,,,
9,8275,3,0,0,,,,,,,,
10,8275,3,0,0,,,,,,,,
11,8275,3,0,0,,,1,,,,,
12,8275,3,0,0,1,,,2,,,,
13,8275,3,0,1,,,,,,,,
14,8275,3,0,0,,,,,,,,
15,8275,3,0,0,,,,,,,,
16,8275,3,0,0,,,,,,,,
17,8275,3,0,0,,,,1,,,,
19,8275,3,0,1,,,,,,,,
20,8275,3,0,0,,,,,,,,
21,8275,3,0,0,,,,,,,,
22,8275,3,0,0,,,,1,,,,
23,8275,3,0,1,,,,,,,,
