date_sk,full_date,year,month,mth_lng_name,cal_wk_nbr,cal,day_of_year,day_of_month,day_of_week,day_name,wk_day_name,wk_end_sun_sat,wk_end_mon_sun
8162,5/5/2022,2022,5,May,19,Week,125,5,5,Thursday,Weekday,5/7/2022,5/8/2022
8586,7/3/2023,2023,7,July,27,Week,184,3,2,Monday,Weekday,7/8/2023,7/9/2023
8581,6/28/2023,2023,6,June,26,Week,179,28,4,Wednesday,Weekday,7/1/2023,7/2/2023
8749,12/13/2023,2023,12,December,50,Week,347,13,4,Wednesday,Weekday,12/16/2023,12/17/2023
8164,5/7/2022,2022,5,May,19,Week,127,7,7,Saturday,Weekend,5/7/2022,5/8/2022
8303,9/23/2022,2022,9,September,39,Week,266,23,6,Friday,Weekday,9/24/2022,9/25/2022
8677,10/2/2023,2023,10,October,40,Week,275,2,2,Monday,Weekday,10/7/2023,10/8/2023
8275,8/26/2022,2022,8,August,35,Week,238,26,6,Friday,Weekday,8/27/2022,8/28/2022
8696,10/21/2023,2023,10,October,42,Week,294,21,7,Saturday,Weekend,10/21/2023,10/22/2023
8055,1/18/2022,2022,1,January,4,Week,18,18,3,Tuesday,Weekday,1/22/2022,1/23/2022
8161,5/4/2022,2022,5,May,19,Week,124,4,4,Wednesday,Weekday,5/7/2022,5/8/2022
8294,9/14/2022,2022,9,September,38,Week,257,14,4,Wednesday,Weekday,9/17/2022,9/18/2022
8381,12/10/2022,2022,12,December,50,Week,344,10,7,Saturday,Weekend,12/10/2022,12/11/2022
8724,11/18/2023,2023,11,November,46,Week,322,18,7,Saturday,Weekend,11/18/2023,11/19/2023
8470,3/9/2023,2023,3,March,10,Week,68,9,5,Thursday,Weekday,3/11/2023,3/12/2023
8252,8/3/2022,2022,8,August,32,Week,215,3,4,Wednesday,Weekday,8/6/2022,8/7/2022
8257,8/8/2022,2022,8,August,33,Week,220,8,2,Monday,Weekday,8/13/2022,8/14/2022
8217,6/29/2022,2022,6,June,27,Week,180,29,4,Wednesday,Weekday,7/2/2022,7/3/2022
8652,9/7/2023,2023,9,September,36,Week,250,7,5,Thursday,Weekday,9/9/2023,9/10/2023
8436,2/3/2023,2023,2,February,5,Week,34,3,6,Friday,Weekday,2/4/2023,2/5/2023
8723,11/17/2023,2023,11,November,46,Week,321,17,6,Friday,Weekday,11/18/2023,11/19/2023
8729,11/23/2023,2023,11,November,47,Week,327,23,5,Thursday,Weekday,11/25/2023,11/26/2023
8071,2/3/2022,2022,2,February,6,Week,34,3,5,Thursday,Weekday,2/5/2022,2/6/2022
8181,5/24/2022,2022,5,May,22,Week,144,24,3,Tuesday,Weekday,5/28/2022,5/29/2022
8163,5/6/2022,2022,5,May,19,Week,126,6,6,Friday,Weekday,5/7/2022,5/8/2022
8515,4/23/2023,2023,4,April,17,Week,113,23,1,Sunday,Weekend,4/29/2023,4/23/2023
8247,7/29/2022,2022,7,July,31,Week,210,29,6,Friday,Weekday,7/30/2022,7/31/2022
8750,12/14/2023,2023,12,December,50,Week,348,14,5,Thursday,Weekday,12/16/2023,12/17/2023
8543,5/21/2023,2023,5,May,21,Week,141,21,1,Sunday,Weekend,5/27/2023,5/21/2023
8135,4/8/2022,2022,4,April,15,Week,98,8,6,Friday,Weekday,4/9/2022,4/10/2022
8245,7/27/2022,2022,7,July,31,Week,208,27,4,Wednesday,Weekday,7/30/2022,7/31/2022
8369,11/28/2022,2022,11,November,49,Week,332,28,2,Monday,Weekday,12/3/2022,12/4/2022
8624,8/10/2023,2023,8,August,32,Week,222,10,5,Thursday,Weekday,8/12/2023,8/13/2023
8179,5/22/2022,2022,5,May,22,Week,142,22,1,Sunday,Weekend,5/28/2022,5/22/2022
8746,12/10/2023,2023,12,December,50,Week,344,10,1,Sunday,Weekend,12/16/2023,12/10/2023
8226,7/8/2022,2022,7,July,28,Week,189,8,6,Friday,Weekday,7/9/2022,7/10/2022
8110,3/14/2022,2022,3,March,12,Week,73,14,2,Monday,Weekday,3/19/2022,3/20/2022
